s,T,x,k_0,alpha,beta,sigma,q_true,q_noisy,a_true,b_true
8.858655508480719476e-01,2.030028962307443674e+00,1.690830675525065718e-01,1.500000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000278e-02,-1.328798326272107921e+00,-1.393481445415500675e+00,-1.500000000000000000e+00,-0.000000000000000000e+00
-1.241628661696960734e-01,1.196445626668760642e-01,8.132858277106630451e-01,1.500000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000278e-02,1.862442992545441101e-01,1.428003534108028827e-01,-1.500000000000000000e+00,0.000000000000000000e+00
-1.884763602340454591e+00,2.811561658197844205e-01,9.765925974774323226e-01,1.500000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000278e-02,2.827145403510681998e+00,2.731656872210594944e+00,-1.500000000000000000e+00,0.000000000000000000e+00
2.849800724971367494e-01,1.809495601259293984e+00,3.050332269958382359e-01,1.500000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000278e-02,-4.274701087457051241e-01,-3.563093265448806224e-01,-1.500000000000000000e+00,-0.000000000000000000e+00
2.915729411153456851e+00,1.496546648763011245e+00,9.843685019720105345e-01,1.500000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000278e-02,-4.373594116730185277e+00,-4.272082307507766963e+00,-1.500000000000000000e+00,-0.000000000000000000e+00
-1.561936291174729874e+00,2.206113580691259068e-01,6.009206887539746411e-01,1.500000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000278e-02,2.342904436762094811e+00,2.507662367892526056e+00,-1.500000000000000000e+00,0.000000000000000000e+00
1.634598045924009035e+00,2.934886130561101591e+00,6.570176060860251077e-01,1.500000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000278e-02,-2.451897068886013553e+00,-2.406886198683277023e+00,-1.500000000000000000e+00,-0.000000000000000000e+00
1.813691915764790608e+00,5.986353159398888346e-01,4.509300724899587554e-01,1.500000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000278e-02,-2.720537873647185911e+00,-2.497754435460178168e+00,-1.500000000000000000e+00,-0.000000000000000000e+00
2.742037165443079516e+00,1.874198873290181755e+00,5.954489970818868105e-01,1.500000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000278e-02,-4.113055748164619274e+00,-4.491175477387125525e+00,-1.500000000000000000e+00,-0.000000000000000000e+00
1.839644838648802683e+00,6.920778833203033997e-02,3.913017505277127661e-01,1.500000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000278e-02,-2.759467257973204024e+00,-2.984455522436481267e+00,-1.500000000000000000e+00,-0.000000000000000000e+00
