s,T,x,k_0,alpha,beta,sigma,q_true,q_noisy,a_true,b_true
7.505727996280020520e-01,6.067050101379373173e-01,3.337278016233595768e-01,1.500000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.125859199442003078e+00,-1.125859199442003078e+00,-1.500000000000000000e+00,-0.000000000000000000e+00
2.383282805817453109e+00,2.442316179614565375e+00,1.458198362578858598e-01,1.500000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-3.574924208726179664e+00,-3.574924208726179664e+00,-1.500000000000000000e+00,-0.000000000000000000e+00
1.654114141471160870e+00,2.156337655237320128e+00,6.539097414366072947e-01,1.500000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-2.481171212206741306e+00,-2.481171212206741306e+00,-1.500000000000000000e+00,-0.000000000000000000e+00
-1.648756860056448836e+00,2.697977022784334267e+00,4.205330759357500670e-01,1.500000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.473135290084673255e+00,2.473135290084673255e+00,-1.500000000000000000e+00,0.000000000000000000e+00
-1.199002290532647397e+00,2.773660962057289403e+00,2.728594841084526212e-01,1.500000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.798503435798971095e+00,1.798503435798971095e+00,-1.500000000000000000e+00,0.000000000000000000e+00
2.241320672377571377e+00,7.101563900932525986e-01,2.249316815935110681e-01,1.500000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-3.361981008566357065e+00,-3.361981008566357065e+00,-1.500000000000000000e+00,-0.000000000000000000e+00
-2.968408172606551432e+00,2.765427164341582866e+00,9.490797447521666097e-01,1.500000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.452612258909827148e+00,4.452612258909827148e+00,-1.500000000000000000e+00,0.000000000000000000e+00
1.927370510296597672e+00,1.209684797016409297e+00,4.817778893450010980e-01,1.500000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-2.891055765444896508e+00,-2.891055765444896508e+00,-1.500000000000000000e+00,-0.000000000000000000e+00
1.782416572512277142e+00,2.037239826416361144e+00,9.911189666475921367e-01,1.500000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-2.673624858768415713e+00,-2.673624858768415713e+00,-1.500000000000000000e+00,-0.000000000000000000e+00
-1.923902829376755719e-01,2.858689028523980546e+00,3.212323373134524651e-01,1.500000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.885854244065133578e-01,2.885854244065133578e-01,-1.500000000000000000e+00,0.000000000000000000e+00
