s,T,x,k_0,alpha,beta,sigma,q_true,q_noisy,a_true,b_true
7.505727996280020520e-01,6.067050101379373173e-01,3.337278016233595768e-01,1.000000000000000000e+00,5.000000000000000000e-01,2.000000000000000111e-01,1.000000000000000056e-01,-9.732808018673546613e-01,-9.891934029347180246e-01,-1.522061201188087631e+00,-4.553762780075669703e-01
2.383282805817453109e+00,2.442316179614565375e+00,1.458198362578858598e-01,1.000000000000000000e+00,5.000000000000000000e-01,2.000000000000000111e-01,1.000000000000000056e-01,-1.219874139745211039e+01,-1.201723291899032731e+01,-7.390476320106611041e+00,-5.820730157245163738e+00
1.654114141471160870e+00,2.156337655237320128e+00,6.539097414366072947e-01,1.000000000000000000e+00,5.000000000000000000e-01,2.000000000000000111e-01,1.000000000000000056e-01,-6.404919782411720774e+00,-6.690701628042453386e+00,-4.966552197506117317e+00,-3.566828609314816045e+00
-1.648756860056448836e+00,2.697977022784334267e+00,4.205330759357500670e-01,1.000000000000000000e+00,5.000000000000000000e-01,2.000000000000000111e-01,1.000000000000000056e-01,8.545869275722191460e+00,8.496488143093227308e+00,-6.270579517886030629e+00,4.448308124590345081e+00
-1.199002290532647397e+00,2.773660962057289403e+00,2.728594841084526212e-01,1.000000000000000000e+00,5.000000000000000000e-01,2.000000000000000111e-01,1.000000000000000056e-01,6.155820278715063765e+00,6.764781789108351262e+00,-5.709161461841805618e+00,3.325625846667676466e+00
2.241320672377571377e+00,7.101563900932525986e-01,2.249316815935110681e-01,1.000000000000000000e+00,5.000000000000000000e-01,2.000000000000000111e-01,1.000000000000000056e-01,-5.058357552772686283e+00,-4.656933265818397061e+00,-4.266272063051369301e+00,-1.591688197737037846e+00
-2.968408172606551432e+00,2.765427164341582866e+00,9.490797447521666097e-01,1.000000000000000000e+00,5.000000000000000000e-01,2.000000000000000111e-01,1.000000000000000056e-01,1.955018294842121307e+01,2.007746371302951616e+01,-1.011066194815758479e+01,8.208916595379715631e+00
1.927370510296597672e+00,1.209684797016409297e+00,4.817778893450010980e-01,1.000000000000000000e+00,5.000000000000000000e-01,2.000000000000000111e-01,1.000000000000000056e-01,-4.769509748760767387e+00,-4.151558838935669016e+00,-3.960522904442896230e+00,-2.331510804523552860e+00
1.782416572512277142e+00,2.037239826416361144e+00,9.911189666475921367e-01,1.000000000000000000e+00,5.000000000000000000e-01,2.000000000000000111e-01,1.000000000000000056e-01,-6.613790057637376485e+00,-6.491536775831836970e+00,-4.981378357948331725e+00,-3.631210028786556965e+00
-1.923902829376755719e-01,2.858689028523980546e+00,3.212323373134524651e-01,1.000000000000000000e+00,5.000000000000000000e-01,2.000000000000000111e-01,1.000000000000000056e-01,9.799311110396310420e-01,8.774797476708355859e-01,-5.108259893482992808e+00,5.499839910285575506e-01
