s,T,x,k_0,alpha,beta,sigma,q_true,q_noisy,a_true,b_true
-2.049150320433390071e+00,8.465527430924801866e-02,2.584541390960374274e-01,6.999999999999999556e-01,2.000000000000000111e-01,5.000000000000000278e-02,2.000000000000000042e-02,1.866682016962752266e+00,1.858223652973221007e+00,-1.330855867525412295e+00,4.857198709360818767e-02
-3.968356677117679254e-01,4.626784948161696276e-01,1.397096972924316560e-01,6.999999999999999556e-01,2.000000000000000111e-01,5.000000000000000278e-02,2.000000000000000042e-02,2.928027854132885799e-01,3.007383995613530647e-01,-7.535917766143865881e-01,5.141005223935011387e-02
1.608946104821061596e+00,2.152137254390448007e+00,7.373727365387094945e-01,6.999999999999999556e-01,2.000000000000000111e-01,5.000000000000000278e-02,2.000000000000000042e-02,-2.377817435681038205e+00,-2.422725066923820503e+00,-1.736743401875765924e+00,-9.695483986977053714e-01
2.923139098708432471e+00,5.659273362470775837e-01,5.685257812614009643e-01,6.999999999999999556e-01,2.000000000000000111e-01,5.000000000000000278e-02,2.000000000000000042e-02,-3.426139529244656146e+00,-3.370788774484010375e+00,-2.026549653547331964e+00,-4.631996106112888922e-01
-2.807374799595550030e+00,2.298424222577055254e+00,8.522094992330608854e-01,6.999999999999999556e-01,2.000000000000000111e-01,5.000000000000000278e-02,2.000000000000000042e-02,5.147751813625984774e+00,5.010139318819911480e+00,-2.621788536780675027e+00,1.806710707547988903e+00
8.203950783388540557e-01,1.622419924744687991e-01,5.518428183189104663e-01,6.999999999999999556e-01,2.000000000000000111e-01,5.000000000000000278e-02,2.000000000000000042e-02,-6.049080964423974027e-01,-5.872107114520643822e-01,-8.046423576614841755e-01,-3.726870899526420200e-02
2.041011551828099790e+00,2.354312044036844132e+00,9.859269846932670056e-01,6.999999999999999556e-01,2.000000000000000111e-01,5.000000000000000278e-02,2.000000000000000042e-02,-3.437627457904549821e+00,-3.400126887666416575e+00,-2.100849151301934725e+00,-1.345449861976423023e+00
1.895366668637462837e+00,1.220951283745349336e+00,4.218377498465256670e-01,6.999999999999999556e-01,2.000000000000000111e-01,5.000000000000000278e-02,2.000000000000000042e-02,-2.062768913084293665e+00,-2.137236164440162511e+00,-1.447563306506399528e+00,-6.479621028274956673e-01
2.515822008812642174e+00,4.757069533809059614e-01,4.072190540979224727e-01,6.999999999999999556e-01,2.000000000000000111e-01,5.000000000000000278e-02,2.000000000000000042e-02,-2.636957866852536192e+00,-2.616073919204305653e+00,-1.681085651773204015e+00,-3.351023264570499594e-01
8.765428486951254428e-01,1.782833435918720788e+00,7.671761498921025879e-01,6.999999999999999556e-01,2.000000000000000111e-01,5.000000000000000278e-02,2.000000000000000042e-02,-1.037305783027201223e+00,-1.077615811365970400e+00,-1.260238413271949964e+00,-4.375643716273518447e-01
2.093351554052404140e+00,2.262767929055286231e+00,9.936092147282676867e-01,6.999999999999999556e-01,2.000000000000000111e-01,5.000000000000000278e-02,2.000000000000000042e-02,-3.424561231210189405e+00,-3.385990029495483888e+00,-2.074134727434603143e+00,-1.326295253009390329e+00
-5.843953321500716669e-01,1.714210297729105159e-01,3.266073750923889074e-01,6.999999999999999556e-01,2.000000000000000111e-01,5.000000000000000278e-02,2.000000000000000042e-02,4.214599637796035414e-01,3.893097431597197788e-01,-7.553416093585955116e-01,2.804974189686125843e-02
5.452943454409746593e-01,1.238172040474658342e+00,2.477636505472377015e-01,6.999999999999999556e-01,2.000000000000000111e-01,5.000000000000000278e-02,2.000000000000000042e-02,-5.068495107774534381e-01,-5.083011506471075691e-01,-9.592316887293301786e-01,-1.890470994591045284e-01
