s,T,x,k_0,alpha,beta,sigma,q_true,q_noisy,a_true,b_true
-2.049150320433390071e+00,8.465527430924801866e-02,2.584541390960374274e-01,1.000000000000000000e+00,5.000000000000000000e-01,2.000000000000000111e-01,0.000000000000000000e+00,3.777376375022801991e+00,3.777376375022801991e+00,-3.522993479173546660e+00,1.734713824771721147e-01
-3.968356677117679254e-01,4.626784948161696276e-01,1.397096972924316560e-01,1.000000000000000000e+00,5.000000000000000000e-01,2.000000000000000111e-01,0.000000000000000000e+00,4.518098700030029891e-01,4.518098700030029891e-01,-1.201522823083625013e+00,1.836073294262504374e-01
1.608946104821061596e+00,2.152137254390448007e+00,7.373727365387094945e-01,1.000000000000000000e+00,5.000000000000000000e-01,2.000000000000000111e-01,0.000000000000000000e+00,-6.168037919309398376e+00,-6.168037919309398376e+00,-4.869071921798948210e+00,-3.462672852491805564e+00
2.923139098708432471e+00,5.659273362470775837e-01,5.685257812614009643e-01,1.000000000000000000e+00,5.000000000000000000e-01,2.000000000000000111e-01,0.000000000000000000e+00,-8.386735456064034366e+00,-8.386735456064034366e+00,-6.286982189194626258e+00,-1.654284323611746377e+00
-2.807374799595550030e+00,2.298424222577055254e+00,8.522094992330608854e-01,1.000000000000000000e+00,5.000000000000000000e-01,2.000000000000000111e-01,0.000000000000000000e+00,1.464789240378531687e+01,1.464789240378531687e+01,-8.370188912706964857e+00,6.452538241242818273e+00
8.203950783388540557e-01,1.622419924744687991e-01,5.518428183189104663e-01,1.000000000000000000e+00,5.000000000000000000e-01,2.000000000000000111e-01,0.000000000000000000e+00,-9.416255555587214054e-01,-9.416255555587214054e-01,-1.416990082798611494e+00,-1.331025321259436123e-01
2.041011551828099790e+00,2.354312044036844132e+00,9.859269846932670056e-01,1.000000000000000000e+00,5.000000000000000000e-01,2.000000000000000111e-01,0.000000000000000000e+00,-9.397915720892161318e+00,-9.397915720892161318e+00,-6.270829493165921420e+00,-4.805178078487224447e+00
1.895366668637462837e+00,1.220951283745349336e+00,4.218377498465256670e-01,1.000000000000000000e+00,5.000000000000000000e-01,2.000000000000000111e-01,0.000000000000000000e+00,-4.669887757089975722e+00,-4.669887757089975722e+00,-3.900809903788832855e+00,-2.314150367241056383e+00
2.515822008812642174e+00,4.757069533809059614e-01,4.072190540979224727e-01,1.000000000000000000e+00,5.000000000000000000e-01,2.000000000000000111e-01,0.000000000000000000e+00,-5.985192457235301688e+00,-5.985192457235301688e+00,-4.910764780763119397e+00,-1.196794023060892664e+00
8.765428486951254428e-01,1.782833435918720788e+00,7.671761498921025879e-01,1.000000000000000000e+00,5.000000000000000000e-01,2.000000000000000111e-01,0.000000000000000000e+00,-2.404280777578148509e+00,-2.404280777578148509e+00,-3.050243949474015448e+00,-1.562729898669113826e+00
2.093351554052404140e+00,2.262767929055286231e+00,9.936092147282676867e-01,1.000000000000000000e+00,5.000000000000000000e-01,2.000000000000000111e-01,0.000000000000000000e+00,-9.287119621196161745e+00,-9.287119621196161745e+00,-6.189331787692744058e+00,-4.736768760747823492e+00
-5.843953321500716669e-01,1.714210297729105159e-01,3.266073750923889074e-01,1.000000000000000000e+00,5.000000000000000000e-01,2.000000000000000111e-01,0.000000000000000000e+00,6.328979038966802140e-01,6.328979038966802140e-01,-1.219603327267478221e+00,1.001776496316473669e-01
5.452943454409746593e-01,1.238172040474658342e+00,2.477636505472377015e-01,1.000000000000000000e+00,5.000000000000000000e-01,2.000000000000000111e-01,0.000000000000000000e+00,-9.957097571268248570e-01,-9.957097571268248570e-01,-1.944942554808529955e+00,-6.751682123539447522e-01
