s,T,x,k_0,alpha,beta,sigma,q_true,q_noisy,a_true,b_true
7.505727996280020520e-01,6.067050101379373173e-01,3.337278016233595768e-01,6.999999999999999556e-01,1.499999999999999944e-01,4.000000000000000083e-02,5.000000000000000278e-02,-5.713239556785828510e-01,-5.792802562122645327e-01,-8.062526953035333843e-01,-9.562902208437962237e-02
2.383282805817453109e+00,2.442316179614565375e+00,1.458198362578858598e-01,6.999999999999999556e-01,1.499999999999999944e-01,4.000000000000000083e-02,5.000000000000000278e-02,-1.445865739206871048e+01,-1.435109019237453865e+01,-7.884309969617739000e+00,-7.334120013565307517e+00
1.654114141471160870e+00,2.156337655237320128e+00,6.539097414366072947e-01,6.999999999999999556e-01,1.499999999999999944e-01,4.000000000000000083e-02,5.000000000000000278e-02,-7.885399854749310933e+00,-8.061319632091004550e+00,-5.642693628548732576e+00,-4.494214499413319075e+00
-1.648756860056448836e+00,2.697977022784334267e+00,4.205330759357500670e-01,6.999999999999999556e-01,1.499999999999999944e-01,4.000000000000000083e-02,5.000000000000000278e-02,1.058627915200504965e+01,1.055569347148583681e+01,-7.290652017866893431e+00,5.604868237003040932e+00
-1.199002290532647397e+00,2.773660962057289403e+00,2.728594841084526212e-01,6.999999999999999556e-01,1.499999999999999944e-01,4.000000000000000083e-02,5.000000000000000278e-02,7.765614071913049088e+00,8.149718858948078903e+00,-6.936764049934697418e+00,4.190288566803402226e+00
2.241320672377571377e+00,7.101563900932525986e-01,2.249316815935110681e-01,6.999999999999999556e-01,1.499999999999999944e-01,4.000000000000000083e-02,5.000000000000000278e-02,-2.137983593801713766e+00,-2.053149877451295957e+00,-1.355776030470549731e+00,-3.342547593426614116e-01
-2.968408172606551432e+00,2.765427164341582866e+00,9.490797447521666097e-01,6.999999999999999556e-01,1.499999999999999944e-01,4.000000000000000083e-02,5.000000000000000278e-02,2.264245827911640774e+01,2.294779896941895814e+01,-1.044747466081993892e+01,1.034323491018610852e+01
1.927370510296597672e+00,1.209684797016409297e+00,4.817778893450010980e-01,6.999999999999999556e-01,1.499999999999999944e-01,4.000000000000000083e-02,5.000000000000000278e-02,-1.934286632664654837e+00,-1.808980862524629973e+00,-1.301396676828593613e+00,-5.562318016697281875e-01
1.782416572512277142e+00,2.037239826416361144e+00,9.911189666475921367e-01,6.999999999999999556e-01,1.499999999999999944e-01,4.000000000000000083e-02,5.000000000000000278e-02,-8.061931962270413976e+00,-7.987421157460213195e+00,-5.539676382860719173e+00,-4.575532429229723697e+00
-1.923902829376755719e-01,2.858689028523980546e+00,3.212323373134524651e-01,6.999999999999999556e-01,1.499999999999999944e-01,4.000000000000000083e-02,5.000000000000000278e-02,1.260992694828257044e+00,1.196397484436633851e+00,-6.566191596001162090e+00,6.929798286960240361e-01
