s,T,q_true,q_noisy
-4.651162790697674154e+01,1.000000000000000000e+00,1.000000000000000000e+00,9.600000000000000200e-02
-5.426356589147286513e+01,1.000000000000000000e+00,1.000000000000000000e+00,1.049999999999999961e-01
-5.813953488372092693e+01,1.000000000000000000e+00,1.000000000000000000e+00,1.120000000000000023e-01
-6.976744186046511231e+01,1.000000000000000000e+00,1.000000000000000000e+00,1.219999999999999973e-01
-6.976744186046511231e+01,1.000000000000000000e+00,1.000000000000000000e+00,1.270000000000000018e-01
-7.751937984496123590e+01,1.000000000000000000e+00,1.000000000000000000e+00,1.390000000000000124e-01
-8.527131782945735949e+01,1.000000000000000000e+00,1.000000000000000000e+00,1.449999999999999900e-01
-9.302325581395348308e+01,1.000000000000000000e+00,1.000000000000000000e+00,1.549999999999999989e-01
-1.007751937984496067e+02,1.000000000000000000e+00,1.000000000000000000e+00,1.640000000000000069e-01
-1.085271317829457303e+02,1.000000000000000000e+00,1.000000000000000000e+00,1.710000000000000131e-01
-1.201550387596899157e+02,1.000000000000000000e+00,1.000000000000000000e+00,1.839999999999999969e-01
-1.356589147286821628e+02,1.000000000000000000e+00,1.000000000000000000e+00,2.010000000000000120e-01
-1.511627906976744100e+02,1.000000000000000000e+00,1.000000000000000000e+00,2.139999999999999958e-01
-1.666666666666666572e+02,1.000000000000000000e+00,1.000000000000000000e+00,2.330000000000000127e-01
-1.860465116279069662e+02,1.000000000000000000e+00,1.000000000000000000e+00,2.469999999999999973e-01
-2.054263565891472751e+02,1.000000000000000000e+00,1.000000000000000000e+00,2.640000000000000124e-01
-2.248062015503875841e+02,1.000000000000000000e+00,1.000000000000000000e+00,2.839999999999999747e-01
-2.441860465116278931e+02,1.000000000000000000e+00,1.000000000000000000e+00,2.999999999999999889e-01
-2.674418604651162923e+02,1.000000000000000000e+00,1.000000000000000000e+00,3.170000000000000040e-01
-2.906976744186046631e+02,1.000000000000000000e+00,1.000000000000000000e+00,3.370000000000000218e-01
-3.062015503875969102e+02,1.000000000000000000e+00,1.000000000000000000e+00,3.479999999999999760e-01
-3.294573643410852810e+02,1.000000000000000000e+00,1.000000000000000000e+00,3.659999999999999920e-01
-3.565891472868216852e+02,1.000000000000000000e+00,1.000000000000000000e+00,3.870000000000000107e-01
-3.914728682170542697e+02,1.000000000000000000e+00,1.000000000000000000e+00,4.079999999999999738e-01
-4.224806201550387641e+02,1.000000000000000000e+00,1.000000000000000000e+00,4.269999999999999907e-01
-4.379844961240310113e+02,1.000000000000000000e+00,1.000000000000000000e+00,4.430000000000000049e-01
