experiment,dataset,method,original_rows,training_rows,chop_grid_s,chop_grid_T,max_rows_per_cell,smoothing_type,smoothing_strength,test_obs_q_RMSE,clean_q_RMSE,clean_dq_ds_RMSE,clean_dq_dT_RMSE,test_obs_q_RMSE/noise,clean_dq_ds_RMSE/noise,clean_dq_dT_RMSE/noise,entropy_violation_%,worst_entropy_violation,deriv_violation_%,worst_deriv_violation,status,build_s,newton_steps,flux_calls,final_residual,rel_solution_err,solve_total_s,flux_eval_s,nonflux_s,avg_flux_eval_us
bello,nonlinear_low_noise,FiniteDiff,3000,289,17,17,1,none,0.0,0.2462471370526548,0.25074547038860207,0.3086391860310191,0.5317208319000353,4.874133220655992,3.354933871384715,2.89608118506379,2.0,0.03328734288784775,0.0,0.0,ok,0.06487279999419115,22.0,3760,5.597776317499476e-09,0.008463470968353542,0.4770715000049677,0.3310470996511867,0.14602440035378095,88.04444139659222
bello,nonlinear_low_noise,FiniteDiff+reg=laplacian:0.01,3000,289,17,17,1,laplacian,0.01,0.24043704610676114,0.24386734111111244,0.29033144200627126,0.5009459618071209,4.6422398108876,3.1559271563686426,2.7284621697801694,1.6,0.02761788495134691,0.0,0.0,ok,0.06968119999510236,22.0,3680,5.204867456428794e-09,0.007876952638195945,0.46524679999856744,0.3229896995908348,0.14225710040773265,87.76894010620511
bello,nonlinear_low_noise,FiniteDiff+reg=laplacian:0.1,3000,289,17,17,1,laplacian,0.1,0.2261636984614267,0.227291732706727,0.249439893505486,0.40632311224865575,4.03198865250697,2.7114325901314587,2.2130874884757668,1.4000000000000001,0.010687196461869688,0.0,0.0,ok,0.07017540000379086,23.0,3760,7.0559553068751955e-09,0.00508882290623601,0.47223919999669306,0.32804560009390116,0.1441935999027919,87.24617023773968
bello,nonlinear_low_noise,FiniteDiff+reg=gradient:0.03,3000,289,17,17,1,gradient,0.03,0.24158761932499762,0.24574415285757645,0.2954581357649513,0.492384630095673,4.663518735716242,3.2116547480603974,2.68183185138543,1.7999999999999998,0.02897686233547916,0.0,0.0,ok,0.06931279999844264,19.0,3200,5.006402788809478e-09,0.007870424994059957,0.40307379998557735,0.2798542998061748,0.12321950017940253,87.45446868942963
bello,nonlinear_low_noise,FiniteDiff+reg=gradient:0.3,3000,289,17,17,1,gradient,0.3,0.237208530603732,0.24114875745679107,0.30741511675962635,0.32895412878920643,3.9427412106611173,3.341628135608494,1.7916880550479866,1.0,0.011131223484305598,0.0,0.0,ok,0.06915139999182429,11.0,1840,4.66961902956103e-09,0.005139489510701454,0.23400689999107271,0.1630140000488609,0.0709928999422118,88.59456524394615
bello,nonlinear_low_noise,rff,3000,289,17,17,1,none,0.0,0.05269830699804401,0.027638940116501424,0.08990441659968383,0.2592349253918492,1.1157508516731094,0.9772685585266141,1.4119540647974753,0.2,5.4178970315658905e-05,0.0,0.0,ok,0.22813099999621045,4.0,720,2.1127226199551323e-14,0.00360171810043829,0.2867384999990463,0.22631649984396063,0.0604220001550857,314.3284720055009
bello,nonlinear_low_noise,rff+reg=laplacian:0.01,3000,289,17,17,1,laplacian,0.01,0.22677002294426188,0.23046291296823973,0.30955020069906936,0.5478187620316554,4.115268067666115,3.3648366773325735,2.9837604892694625,1.2,0.0038634736059093453,0.0,0.0,ok,0.2533938999986276,4.0,720,2.8206438994852267e-14,0.005821446748316367,0.2942174000054365,0.22968249997938983,0.06453490002604667,319.00347219359696
bello,nonlinear_low_noise,rff+reg=laplacian:0.1,3000,289,17,17,1,laplacian,0.1,0.22289490405680454,0.22455857761220252,0.273496310192336,0.4779668620209871,3.9715954659741484,2.9729278597526863,2.603303751023996,1.2,0.00218601082187073,0.0,0.0,ok,0.29488810000475496,4.0,720,2.0572705257275158e-14,0.00496654924772885,0.1600505999958841,0.1287650999292964,0.0312855000665877,178.84041656846725
bello,nonlinear_low_noise,rff+reg=gradient:0.03,3000,289,17,17,1,gradient,0.03,0.22640125687693735,0.23029165588046852,0.30727828263805695,0.5307031991463721,4.07502237836181,3.340140737215834,2.8905385264083874,1.2,0.003459983841087916,0.0,0.0,ok,0.08481339999707416,4.0,720,4.479388757780387e-14,0.0057903516793565415,0.1611086999910185,0.12936099998478312,0.03174770000623539,179.668055534421
bello,nonlinear_low_noise,rff+reg=gradient:0.3,3000,289,17,17,1,gradient,0.3,0.23046979865062575,0.2339162661065382,0.3260240654258383,0.36875504736529535,3.7723217729946246,3.5439089703721627,2.0084685242738707,0.8,0.0011398491457753049,0.0,0.0,ok,0.08585390000371262,4.0,720,2.7272194156447576e-14,0.004480167160657511,0.15828949998831376,0.12742959991737735,0.03085990007093642,176.98555544080187
