experiment,dataset,method,original_rows,training_rows,chop_grid_s,chop_grid_T,max_rows_per_cell,smoothing_type,smoothing_strength,model_regularization_type,model_regularization_strength,test_obs_q_RMSE,clean_q_RMSE,clean_dq_ds_RMSE,clean_dq_dT_RMSE,test_obs_q_RMSE/noise,clean_dq_ds_RMSE/noise,clean_dq_dT_RMSE/noise,entropy_violation_%,worst_entropy_violation,deriv_violation_%,worst_deriv_violation,status,build_s,newton_steps,flux_calls,final_residual,rel_solution_err,solve_total_s,flux_eval_s,nonflux_s,avg_flux_eval_us
model_regularization_sweep_no_presmoothing,linear_no_noise,ridge_rff+ridge=1e-6,3000,289,17,17,1,none,0.0,ridge,1e-06,0.0008447742282856701,0.0009322162184693745,0.006256720246866395,0.005389523690727232,,,,0.0,0.0,0.0,0.0,ok,0.1893974000122398,2,400,2.5210938422715993e-11,3.7401379252975565e-05,0.09184360000654124,0.07349409983726218,0.018349500169279054,183.73524959315546
model_regularization_sweep_no_presmoothing,linear_no_noise,ridge_rff+ridge=1e-4,3000,289,17,17,1,none,0.0,ridge,0.0001,0.004254571002715911,0.004093310054768918,0.02508533162733757,0.02550814295264096,,,,0.0,0.0,0.0,0.0,ok,0.08671070000855252,3,560,1.815749306968907e-14,0.0004075895945148077,0.1275755999959074,0.10257700039073825,0.024998599605169147,183.17321498346115
model_regularization_sweep_no_presmoothing,linear_no_noise,ridge_rff+ridge=1e-2,3000,289,17,17,1,none,0.0,ridge,0.01,0.025778540804258256,0.026518523392338157,0.13995761890590364,0.12412250829521408,,,,0.0,0.0,0.0,0.0,ok,0.08958679999341257,3,560,1.5917671374785752e-14,0.0010474614077751736,0.1252031000040006,0.1005878999712877,0.02461520003271289,179.62124994872804
model_regularization_sweep_no_presmoothing,linear_no_noise,ridge_rff+ridge=1e-1,3000,289,17,17,1,none,0.0,ridge,0.1,0.06182807846687465,0.06086600885162395,0.273893538249368,0.287433182216986,,,,0.0,0.0,0.2,0.07089100494965259,ok,0.09382420001202263,3,560,1.4239449033765862e-11,0.00535370544625343,0.12350950000109151,0.0996118004550226,0.023897699546068907,177.87821509825466
model_regularization_sweep_no_presmoothing,linear_no_noise,penalty_rff+ridge=1e-6,3000,289,17,17,1,none,0.0,ridge,1e-06,0.0003785627910601561,0.00045888120789872657,0.003014431417747487,0.0022424728798563828,,,,0.0,0.0,0.0,0.0,ok,0.4979997999907937,2,400,1.5571597182620485e-11,2.9675819306952014e-05,0.06330740000703372,0.046312799939187244,0.016994600067846477,115.78199984796811
model_regularization_sweep_no_presmoothing,linear_no_noise,penalty_rff+ridge=1e-4,3000,289,17,17,1,none,0.0,ridge,0.0001,0.0023500950464058787,0.0022814777662257552,0.012848483361831404,0.013113015324383992,,,,0.0,0.0,0.0,0.0,ok,0.41944129997864366,2,400,3.771531412205382e-09,0.00017923815922301226,0.06538509999518283,0.04752969997934997,0.017855400015832856,118.82424994837493
model_regularization_sweep_no_presmoothing,linear_no_noise,penalty_rff+ridge=1e-2,3000,289,17,17,1,none,0.0,ridge,0.01,0.014116074692516039,0.014054027804385673,0.06755817535535633,0.06468076760664053,,,,0.0,0.0,0.0,0.0,ok,0.4367986999859568,3,560,2.099349249138085e-14,0.0013118667556914322,0.08835189999081194,0.06466439983341843,0.023687500157393515,115.47214255967576
model_regularization_sweep_no_presmoothing,linear_no_noise,penalty_rff+ridge=1e-1,3000,289,17,17,1,none,0.0,ridge,0.1,0.043500127227781134,0.044077300203868,0.15675796423248317,0.15102657781748863,,,,0.0,0.0,0.0,0.0,ok,0.4664510999864433,3,560,1.6695410551368756e-12,0.0035467198464066148,0.09104649999062531,0.06639990000985563,0.02464659998076968,118.57125001759934
model_regularization_sweep_no_presmoothing,linear_no_noise,kissgp+ridge=1e-6,3000,289,17,17,1,none,0.0,ridge,1e-06,0.09067193020862829,0.09721315455538038,0.21692777107384525,0.17054172590088093,,,,0.0,0.0,0.0,0.0,ok,0.8106360999809112,3,560,1.1388385640870671e-10,0.005600621105042735,1.7066925000108313,1.6654721005179454,0.04122039949288592,2974.057322353474
model_regularization_sweep_no_presmoothing,linear_no_noise,kissgp+ridge=1e-4,3000,289,17,17,1,none,0.0,ridge,0.0001,0.0903361243969921,0.09686261955869084,0.21659506863069636,0.17047235840871328,,,,0.0,0.0,0.0,0.0,ok,0.346759000007296,3,560,1.1176856131146673e-10,0.005529705422159986,1.7253348999947775,1.6811994997551665,0.044135400239611045,3002.1419638485118
model_regularization_sweep_no_presmoothing,linear_no_noise,kissgp+ridge=1e-2,3000,289,17,17,1,none,0.0,ridge,0.01,0.07922360790670814,0.08511587470938953,0.23655484380602157,0.19180459076233328,,,,0.0,0.0,0.0,0.0,ok,0.357548100000713,3,560,7.297158182492686e-11,0.004349771233359827,1.6984407999843825,1.6561104999564122,0.042330300027970225,2957.340178493593
model_regularization_sweep_no_presmoothing,linear_no_noise,kissgp+ridge=1e-1,3000,289,17,17,1,none,0.0,ridge,0.1,0.10517773076957289,0.1078915557035928,0.37580046990203636,0.34606098080948,,,,0.0,0.0,0.4,0.10560275410874523,ok,0.3645345999975689,3,560,9.214648176705782e-10,0.00794622024021324,1.687512800010154,1.645334899512818,0.04217790049733594,2938.098034844318
model_regularization_sweep_no_presmoothing,linear_no_noise,rbf+ridge=1e-6,3000,289,17,17,1,none,0.0,ridge,1e-06,0.6241941885964979,0.6352748372633722,1.314661202251425,1.9801303513365947,,,,8.4,0.09144861085816373,18.2,2.6231466155487015,ok,0.06784639999386854,3,560,6.4980414015230385e-09,0.0312789752163124,0.03173020001850091,0.011856699886266142,0.019873500132234767,21.172678368332395
model_regularization_sweep_no_presmoothing,linear_no_noise,rbf+ridge=1e-4,3000,289,17,17,1,none,0.0,ridge,0.0001,0.6243072582710103,0.6353855063696632,1.314580818668312,1.9808986049441455,,,,8.4,0.09152051832793812,18.2,2.6229715541797565,ok,0.06720570000470616,3,560,6.510617818951902e-09,0.031293979694268385,0.03222360002109781,0.011892300331965089,0.02033129968913272,21.2362505927948
model_regularization_sweep_no_presmoothing,linear_no_noise,rbf+ridge=1e-2,3000,289,17,17,1,none,0.0,ridge,0.01,0.6363163046426963,0.6471461176956133,1.3070529990984008,2.0604697663212135,,,,8.6,0.09899660246523145,17.8,2.6069509419362347,ok,0.06806200000573881,3,560,7.956218824624732e-09,0.032827463974932025,0.032120700023369864,0.011956399714108557,0.020164300309261307,21.35071377519385
model_regularization_sweep_no_presmoothing,linear_no_noise,rbf+ridge=1e-1,3000,289,17,17,1,none,0.0,ridge,0.1,0.83147405954538,0.8381427451644836,1.2906372439604736,3.133471418889053,,,,11.200000000000001,0.20362550447014263,18.0,2.6055961210743126,ok,0.06640609999885783,4,720,3.719230561964456e-14,0.05147297933086276,0.042244099982781336,0.01577589983935468,0.026468200143426657,21.910971999103722
model_regularization_sweep_no_presmoothing,linear_no_noise,materngpmonotone_unregularized+ridge=1e-6,3000,289,17,17,1,none,0.0,ridge,1e-06,2.9012872559195137e-06,3.0027000297919712e-06,1.2640770610030227e-05,3.842508327235736e-06,,,,0.0,0.0,0.0,0.0,ok,0.5136746999924071,2,400,6.64110962041663e-09,8.263215489178358e-08,0.09750450000865385,0.08024989991099574,0.017254600097658113,200.62474977748934
model_regularization_sweep_no_presmoothing,linear_no_noise,materngpmonotone_unregularized+ridge=1e-4,3000,289,17,17,1,none,0.0,ridge,0.0001,2.901023603180998e-06,3.0028125881871907e-06,1.2640777790093204e-05,3.8425091306553815e-06,,,,0.0,0.0,0.0,0.0,ok,0.5074401999881957,2,400,4.427789089447337e-09,8.262485244930908e-08,0.09833889998844825,0.08095590019365773,0.01738299979479052,202.38975048414432
model_regularization_sweep_no_presmoothing,linear_no_noise,materngpmonotone_unregularized+ridge=1e-2,3000,289,17,17,1,none,0.0,ridge,0.01,2.9011921913385743e-06,3.002924581506142e-06,1.2641498268234926e-05,3.84258958310507e-06,,,,0.0,0.0,0.0,0.0,ok,0.5077369000064209,2,400,5.635954969215573e-09,8.263265622371446e-08,0.10192960000131279,0.08374439991894178,0.01818520008237101,209.36099979735445
model_regularization_sweep_no_presmoothing,linear_no_noise,materngpmonotone_unregularized+ridge=1e-1,3000,289,17,17,1,none,0.0,ridge,0.1,2.9027408168751744e-06,3.004418227779525e-06,1.2648048222619265e-05,3.843320972416018e-06,,,,0.0,0.0,0.0,0.0,ok,0.5104777000087779,2,400,5.443220615977741e-09,8.268632278986932e-08,0.10098399998969398,0.08329109972692095,0.017692900262773037,208.22774931730237
model_regularization_sweep_no_presmoothing,linear_no_noise,mlp+ridge=1e-6,3000,289,17,17,1,none,0.0,ridge,1e-06,0.12674362731223274,0.13360767899461132,0.32327013740207444,0.2892176677019005,,,,0.8,0.002993145728011854,0.0,0.0,ok,5.533172800001921,3,560,2.524767441081926e-10,0.011148457356302623,5.424080500000855,5.38122869990184,0.042851800099015236,9609.336964110427
model_regularization_sweep_no_presmoothing,linear_no_noise,mlp+ridge=1e-4,3000,289,17,17,1,none,0.0,ridge,0.0001,0.12675126422251462,0.13360356574036739,0.3233490037396865,0.28924005764459315,,,,0.8,0.0029950725639848316,0.0,0.0,ok,3.966060300008394,3,560,2.529690194621392e-10,0.01114196694276225,5.355088299984345,5.313178499956848,0.04190980002749711,9487.818749922943
model_regularization_sweep_no_presmoothing,linear_no_noise,mlp+ridge=1e-2,3000,289,17,17,1,none,0.0,ridge,0.01,0.12725601239104253,0.13298678519033302,0.32881391115459213,0.2888612460118409,,,,0.8,0.003180265575231762,0.0,0.0,ok,3.9552878999966197,3,560,3.3952340609725105e-10,0.01037194243124619,5.292427100008354,5.250857599894516,0.04156950011383742,9376.531428383065
model_regularization_sweep_no_presmoothing,linear_no_noise,mlp+ridge=1e-1,3000,289,17,17,1,none,0.0,ridge,0.1,0.2750863992024995,0.2833599812752878,0.4909332060913838,0.24651433473291057,,,,0.2,6.719213215575757e-05,0.0,0.0,ok,4.02572269999655,4,720,2.8650638312069753e-14,0.03999032854824378,6.790237300010631,6.733462500153109,0.05677479985752143,9352.031250212653
