experiment,dataset,method,original_rows,training_rows,chop_grid_s,chop_grid_T,max_rows_per_cell,smoothing_type,smoothing_strength,model_regularization_type,model_regularization_strength,test_obs_q_RMSE,clean_q_RMSE,clean_dq_ds_RMSE,clean_dq_dT_RMSE,test_obs_q_RMSE/noise,clean_dq_ds_RMSE/noise,clean_dq_dT_RMSE/noise,entropy_violation_%,worst_entropy_violation,deriv_violation_%,worst_deriv_violation,status,build_s,newton_steps,flux_calls,final_residual,rel_solution_err,solve_total_s,flux_eval_s,nonflux_s,avg_flux_eval_us
model_regularization_sweep_no_presmoothing,nonlinear_no_noise,ridge_rff+ridge=1e-6,3000,289,17,17,1,none,0.0,ridge,1e-06,0.003982494179148629,0.0026845207061135874,0.02006296274189294,0.02568634062796056,,,,0.0,0.0,0.0,0.0,ok,0.09731109999120235,4.0,720,3.7724064905822456e-14,5.14167551914718e-05,0.15934469999046996,0.1278756000683643,0.03146909992210567,177.6050000949504
model_regularization_sweep_no_presmoothing,nonlinear_no_noise,ridge_rff+ridge=1e-4,3000,289,17,17,1,none,0.0,ridge,0.0001,0.016302639360688917,0.014068948161553593,0.1035512915056744,0.09777288658846664,,,,0.0,0.0,0.0,0.0,ok,0.09219329999177717,4.0,720,4.970030894746323e-14,0.000819999528024578,0.15919949999079108,0.12753130093915388,0.0316681990516372,177.12680685993595
model_regularization_sweep_no_presmoothing,nonlinear_no_noise,ridge_rff+ridge=1e-2,3000,289,17,17,1,none,0.0,ridge,0.01,0.09106216457841322,0.0919823483949216,0.5627735051031434,0.4391507316589826,,,,0.0,0.0,0.0,0.0,ok,0.08659170000464655,4.0,720,5.155166129307994e-13,0.0031085660698742046,0.1587747000157833,0.12772819981910288,0.031046500196680427,177.4002775265318
model_regularization_sweep_no_presmoothing,nonlinear_no_noise,ridge_rff+ridge=1e-1,3000,289,17,17,1,none,0.0,ridge,0.1,0.21325304713119553,0.2136761247168696,1.1278706500986986,1.0370545626446226,,,,0.6,0.000981848833915343,0.0,0.0,ok,0.07870109999203123,4.0,720,3.390527324964834e-14,0.005521437030315959,0.15795339999021962,0.12679530036984943,0.031158099620370194,176.1045838470131
model_regularization_sweep_no_presmoothing,nonlinear_no_noise,penalty_rff+ridge=1e-6,3000,289,17,17,1,none,0.0,ridge,1e-06,0.0023695436516108343,0.0019014911848046737,0.014756216933978392,0.012705164274600778,,,,0.0,0.0,0.0,0.0,ok,0.39584429998649284,4.0,720,5.201344513157593e-14,8.385595318935011e-05,0.11403799999970943,0.08345729977008887,0.03058070022962056,115.91291634734564
model_regularization_sweep_no_presmoothing,nonlinear_no_noise,penalty_rff+ridge=1e-4,3000,289,17,17,1,none,0.0,ridge,0.0001,0.01166365806652433,0.011401456178775372,0.07531803939390537,0.07118969057268831,,,,0.0,0.0,0.0,0.0,ok,0.4650053000077605,4.0,720,4.59691325767714e-14,0.0007064833370830749,0.11389639999833889,0.08317770023131743,0.030718699767021462,115.52458365460754
model_regularization_sweep_no_presmoothing,nonlinear_no_noise,penalty_rff+ridge=1e-2,3000,289,17,17,1,none,0.0,ridge,0.01,0.06989059124971177,0.07251161564301808,0.4163729032779123,0.3494935011798803,,,,0.0,0.0,0.0,0.0,ok,0.4744300000020303,4.0,720,6.083049639091778e-14,0.0021099757446856994,0.11417039998923428,0.0837605994020123,0.03040980058722198,116.3341658361282
model_regularization_sweep_no_presmoothing,nonlinear_no_noise,penalty_rff+ridge=1e-1,3000,289,17,17,1,none,0.0,ridge,0.1,0.2221746483574567,0.2373928216336569,0.9409074578525515,0.8653320411664053,,,,0.0,0.0,0.0,0.0,ok,0.5057705999934115,4.0,720,3.477816819399947e-14,0.009834612173848253,0.11295830001472495,0.08255969986203127,0.03039860015269369,114.66624980837676
model_regularization_sweep_no_presmoothing,nonlinear_no_noise,kissgp+ridge=1e-6,3000,289,17,17,1,none,0.0,ridge,1e-06,0.3126880165426842,0.3343670474740624,1.0137239219774676,0.8942991248717023,,,,0.0,0.0,0.0,0.0,ok,0.35321079997811466,4.0,720,4.130984571769004e-14,0.022230728116663562,2.2181946999917272,2.161408599524293,0.05678610046743415,3001.956388228185
model_regularization_sweep_no_presmoothing,nonlinear_no_noise,kissgp+ridge=1e-4,3000,289,17,17,1,none,0.0,ridge,0.0001,0.3125686740538329,0.33417848026080127,1.0148930722687743,0.8945008850242662,,,,0.0,0.0,0.0,0.0,ok,0.37506809999467805,4.0,720,4.511168274675536e-14,0.022288170728417156,2.297021100006532,2.240835899981903,0.05618520002462901,3112.2720833081985
model_regularization_sweep_no_presmoothing,nonlinear_no_noise,kissgp+ridge=1e-2,3000,289,17,17,1,none,0.0,ridge,0.01,0.3555950718589083,0.37834458790033676,1.2836406518227037,1.0206806163738829,,,,0.0,0.0,0.0,0.0,ok,0.3820599000027869,4.0,720,5.075844477968001e-14,0.025026560160568437,2.3528768999967724,2.2958798999898136,0.05699700000695884,3188.7220833191855
model_regularization_sweep_no_presmoothing,nonlinear_no_noise,kissgp+ridge=1e-1,3000,289,17,17,1,none,0.0,ridge,0.1,0.37436695557825544,0.3849402100553394,1.5614345928095281,1.3725626692553687,,,,0.0,0.0,0.0,0.0,ok,0.40150109998648986,4.0,720,4.7569396744403564e-14,0.011916538326509407,2.3859893000044394,2.3277457006042823,0.05824359940015711,3232.98013972817
model_regularization_sweep_no_presmoothing,nonlinear_no_noise,rbf+ridge=1e-6,3000,289,17,17,1,none,0.0,ridge,1e-06,2.7493780461333106,2.6983647560183988,5.041970813652425,9.167606401430444,,,,25.0,2.6888262239657124,27.6,6.862823719103022,failed: ZeroDivisionError,0.0727193999919109,,8240,,,0.49758990001282655,0.18741860348382033,0.3101712965290062,22.74497615094907
model_regularization_sweep_no_presmoothing,nonlinear_no_noise,rbf+ridge=1e-4,3000,289,17,17,1,none,0.0,ridge,0.0001,2.7499022910342013,2.6988536286209395,5.041612190926096,9.170620023842908,,,,25.0,2.690128092365113,27.6,6.861978832767865,failed: ZeroDivisionError,0.07013399997958913,,7600,,,0.4533762999926694,0.1690301006019581,0.28434619939071126,22.240802710783964
model_regularization_sweep_no_presmoothing,nonlinear_no_noise,rbf+ridge=1e-2,3000,289,17,17,1,none,0.0,ridge,0.01,2.806248480922734,2.751743422029608,5.007935993778994,9.489104472399577,,,,25.2,2.8243186231434576,27.200000000000003,6.785883361849825,failed: ZeroDivisionError,0.06871620001038536,,7920,,,0.46154780001961626,0.17220650039962493,0.28934129961999133,21.743244999952644
