experiment,dataset,method,original_rows,training_rows,chop_grid_s,chop_grid_T,max_rows_per_cell,smoothing_type,smoothing_strength,model_regularization_type,model_regularization_strength,test_obs_q_RMSE,clean_q_RMSE,clean_dq_ds_RMSE,clean_dq_dT_RMSE,test_obs_q_RMSE/noise,clean_dq_ds_RMSE/noise,clean_dq_dT_RMSE/noise,entropy_violation_%,worst_entropy_violation,deriv_violation_%,worst_deriv_violation,status,build_s,newton_steps,flux_calls,final_residual,rel_solution_err,solve_total_s,flux_eval_s,nonflux_s,avg_flux_eval_us
model_and_data_regularization_sweep_noisy,linear_medium_noise,ridge_rff+ridge=1e-6,3000,289,17,17,1,none,0.0,ridge,1e-06,0.14161497346374424,0.08328531591328647,0.27225729722133213,0.5400086882212612,1.03690482577009,1.1229552893307917,1.111549783665951,0.4,0.0001761193510119172,0.4,0.39382482557776693,ok,0.2888890000176616,4.0,720,3.192195285879675e-14,0.003578822573997133,0.3567480999918189,0.2809719005890656,0.07577619940275326,390.2387508181467
model_and_data_regularization_sweep_noisy,linear_medium_noise,ridge_rff+ridge=1e-6+reg=gradient:0.03,3000,289,17,17,1,gradient,0.03,ridge,1e-06,0.21026867485598763,0.1772869888472138,0.2529282681482258,0.49681312827441015,1.796940180783503,1.0432305743027577,1.0226363710458581,0.4,0.0002887723647507622,0.0,0.0,ok,0.36173790000611916,3.0,560,1.660354217289996e-10,0.0043750624132878856,0.2576716000039596,0.19805389994871803,0.059617700055241585,353.66767847985363
model_and_data_regularization_sweep_noisy,linear_medium_noise,ridge_rff+ridge=1e-6+reg=gradient:0.3,3000,289,17,17,1,gradient,0.3,ridge,1e-06,0.21410449368108347,0.17713441958476106,0.21693394583618297,0.33896451285071194,1.7027704894984383,0.8947680168664137,0.697721979567974,0.2,0.00024089975695038593,0.0,0.0,ok,0.26676110000698827,3.0,560,3.155088860812049e-12,0.00487957956274672,0.2661216999986209,0.2072262997389771,0.05889540025964379,370.04696381960196
model_and_data_regularization_sweep_noisy,linear_medium_noise,ridge_rff+ridge=1e-6+reg=laplacian:0.01,3000,289,17,17,1,laplacian,0.01,ridge,1e-06,0.21011660247229666,0.17754343625425006,0.25730925868230053,0.5081555689631552,1.805211945186611,1.0613004535785662,1.0459835648388822,0.4,0.0003020149568849233,0.0,0.0,ok,0.325232999981381,3.0,560,1.8136213676248333e-10,0.004281689653877082,0.26068320000194944,0.20189200015738606,0.05879119984456338,360.52142885247514
model_and_data_regularization_sweep_noisy,linear_medium_noise,ridge_rff+ridge=1e-6+reg=laplacian:0.1,3000,289,17,17,1,laplacian,0.1,ridge,1e-06,0.20567502105222482,0.17003455288221198,0.21837869357378303,0.40983963056985295,1.732583605739507,0.9007270384619589,0.8436107837416773,0.4,0.0002061622677117103,0.0,0.0,ok,0.32248279999475926,3.0,560,8.684450696396383e-12,0.004495913292284126,0.2599091000156477,0.2018036003864836,0.058105499629164115,360.3635721187207
model_and_data_regularization_sweep_noisy,linear_medium_noise,ridge_rff+ridge=1e-4,3000,289,17,17,1,none,0.0,ridge,0.0001,0.13599139126270768,0.0694340348510268,0.17335866583226142,0.33753592400740984,1.0317453386166098,0.7150369622210951,0.6947813831398858,0.2,6.781593108260452e-05,0.0,0.0,ok,0.2851244999910705,3.0,560,2.1444380661141583e-11,0.005011018424026393,0.2704271999828052,0.21124399980180897,0.05918320018099621,377.221428217516
model_and_data_regularization_sweep_noisy,linear_medium_noise,ridge_rff+ridge=1e-4+reg=gradient:0.03,3000,289,17,17,1,gradient,0.03,ridge,0.0001,0.20582948052000702,0.1677892478826425,0.18574957233528966,0.3369686045705923,1.7050271853263117,0.7661446244920062,0.6936136171186739,0.4,8.072836173074123e-05,0.0,0.0,ok,0.2904046999756247,3.0,560,8.761958889117561e-13,0.005968590564194993,0.264451499999268,0.20583460002671927,0.05861689997254871,367.5617857619987
model_and_data_regularization_sweep_noisy,linear_medium_noise,ridge_rff+ridge=1e-4+reg=gradient:0.3,3000,289,17,17,1,gradient,0.3,ridge,0.0001,0.21318885866267984,0.1742099126744849,0.18768716308030192,0.2546481129767134,1.6564000616181773,0.7741364314991148,0.5241657422634483,0.4,0.00018144421133269302,0.0,0.0,ok,0.32471559999976307,3.0,560,4.3154630312945594e-13,0.005663449181561294,0.26459089998388663,0.20585099977324717,0.05873990021063946,367.5910710236557
model_and_data_regularization_sweep_noisy,linear_medium_noise,ridge_rff+ridge=1e-4+reg=laplacian:0.01,3000,289,17,17,1,laplacian,0.01,ridge,0.0001,0.205404534008786,0.16749405200377893,0.18911069873467543,0.3444817808483413,1.7119654906111756,0.7800079615148195,0.7090786821228766,0.4,8.268100799673385e-05,0.0,0.0,ok,0.2837724999990314,3.0,560,8.748633796768718e-13,0.00599300298669664,0.27934569999342784,0.21687999996356666,0.06246570002986118,387.28571422065477
model_and_data_regularization_sweep_noisy,linear_medium_noise,ridge_rff+ridge=1e-4+reg=laplacian:0.1,3000,289,17,17,1,laplacian,0.1,ridge,0.0001,0.2033872266351958,0.16418501723161893,0.17995496162680055,0.3046037226972191,1.6786941081578968,0.742244112692608,0.6269939900100416,0.4,0.00010975522750922284,0.0,0.0,ok,0.300884500000393,3.0,560,6.845016110586027e-13,0.00600936828876241,0.2664482000109274,0.20761019989731722,0.05883800011361018,370.73249981663787
